idStudent,nameStudent
idStudent 277,Student 277
idStudent 278,Student 278
idStudent 279,Student 279
idStudent 280,Student 280
idStudent 281,Student 281
idStudent 282,Student 282
idStudent 283,Student 283
idStudent 284,Student 284
idStudent 285,Student 285
idStudent 286,Student 286
idStudent 287,Student 287
idStudent 288,Student 288
idStudent 289,Student 289
idStudent 290,Student 290
idStudent 291,Student 291
idStudent 292,Student 292
idStudent 293,Student 293
idStudent 294,Student 294
idStudent 295,Student 295
idStudent 296,Student 296
idStudent 297,Student 297
idStudent 298,Student 298
idStudent 299,Student 299
idStudent 300,Student 300
idStudent 301,Student 301
idStudent 302,Student 302
idStudent 303,Student 303
idStudent 304,Student 304
idStudent 305,Student 305
idStudent 306,Student 306
idStudent 307,Student 307
idStudent 308,Student 308
idStudent 309,Student 309
idStudent 310,Student 310
idStudent 311,Student 311
idStudent 312,Student 312
idStudent 313,Student 313
idStudent 314,Student 314
idStudent 315,Student 315
idStudent 316,Student 316
idStudent 317,Student 317
idStudent 318,Student 318
idStudent 319,Student 319
idStudent 320,Student 320
idStudent 321,Student 321
idStudent 322,Student 322
idStudent 323,Student 323
idStudent 324,Student 324
idStudent 325,Student 325
idStudent 326,Student 326
idStudent 327,Student 327
idStudent 328,Student 328
idStudent 329,Student 329
idStudent 330,Student 330
idStudent 331,Student 331
idStudent 332,Student 332
idStudent 333,Student 333
idStudent 334,Student 334
idStudent 335,Student 335
idStudent 336,Student 336
idStudent 337,Student 337
idStudent 338,Student 338
idStudent 339,Student 339
idStudent 340,Student 340
idStudent 341,Student 341
idStudent 342,Student 342
idStudent 343,Student 343
idStudent 344,Student 344
idStudent 345,Student 345
idStudent 346,Student 346
idStudent 347,Student 347
idStudent 348,Student 348
idStudent 349,Student 349
idStudent 350,Student 350
idStudent 351,Student 351
idStudent 352,Student 352
idStudent 353,Student 353
idStudent 354,Student 354
idStudent 355,Student 355
idStudent 356,Student 356
idStudent 357,Student 357
idStudent 358,Student 358
idStudent 359,Student 359
idStudent 360,Student 360
idStudent 361,Student 361
idStudent 362,Student 362
idStudent 363,Student 363
idStudent 364,Student 364
idStudent 365,Student 365
idStudent 366,Student 366
idStudent 367,Student 367
idStudent 368,Student 368
idStudent 369,Student 369
idStudent 370,Student 370
idStudent 371,Student 371
idStudent 372,Student 372
idStudent 373,Student 373
idStudent 374,Student 374
idStudent 375,Student 375
idStudent 376,Student 376
idStudent 377,Student 377
idStudent 378,Student 378
idStudent 379,Student 379
idStudent 380,Student 380
idStudent 381,Student 381
idStudent 382,Student 382
idStudent 383,Student 383
idStudent 384,Student 384
idStudent 385,Student 385
idStudent 386,Student 386
idStudent 387,Student 387
idStudent 388,Student 388
idStudent 389,Student 389
idStudent 390,Student 390
idStudent 391,Student 391
idStudent 392,Student 392
idStudent 393,Student 393
idStudent 394,Student 394
idStudent 395,Student 395
idStudent 396,Student 396
idStudent 397,Student 397
idStudent 398,Student 398
idStudent 399,Student 399
idStudent 400,Student 400
idStudent 401,Student 401
idStudent 402,Student 402
idStudent 403,Student 403
idStudent 404,Student 404
idStudent 405,Student 405
idStudent 406,Student 406
idStudent 407,Student 407
idStudent 408,Student 408
idStudent 409,Student 409
idStudent 410,Student 410
idStudent 411,Student 411
idStudent 412,Student 412
idStudent 413,Student 413
idStudent 414,Student 414
idStudent 415,Student 415
idStudent 416,Student 416
idStudent 417,Student 417
idStudent 418,Student 418
idStudent 419,Student 419
idStudent 420,Student 420
idStudent 421,Student 421
idStudent 422,Student 422
idStudent 423,Student 423
idStudent 424,Student 424
idStudent 425,Student 425
idStudent 426,Student 426
idStudent 427,Student 427
idStudent 428,Student 428
idStudent 429,Student 429
idStudent 430,Student 430
idStudent 431,Student 431
idStudent 432,Student 432
idStudent 433,Student 433
idStudent 434,Student 434
idStudent 435,Student 435
idStudent 436,Student 436
idStudent 437,Student 437
idStudent 438,Student 438
idStudent 439,Student 439
idStudent 440,Student 440
idStudent 441,Student 441
idStudent 442,Student 442
idStudent 443,Student 443
idStudent 444,Student 444
idStudent 445,Student 445
idStudent 446,Student 446
idStudent 447,Student 447
idStudent 448,Student 448
idStudent 449,Student 449
idStudent 450,Student 450
idStudent 451,Student 451
idStudent 452,Student 452
idStudent 453,Student 453
idStudent 454,Student 454
idStudent 455,Student 455
idStudent 456,Student 456
idStudent 457,Student 457
idStudent 458,Student 458
idStudent 459,Student 459
idStudent 460,Student 460
idStudent 461,Student 461
idStudent 462,Student 462
idStudent 463,Student 463
idStudent 464,Student 464
idStudent 465,Student 465
idStudent 466,Student 466
idStudent 467,Student 467
idStudent 468,Student 468
idStudent 469,Student 469
idStudent 470,Student 470
idStudent 471,Student 471
idStudent 472,Student 472
idStudent 473,Student 473
idStudent 474,Student 474
idStudent 475,Student 475
idStudent 476,Student 476
idStudent 477,Student 477
idStudent 478,Student 478
idStudent 479,Student 479
idStudent 480,Student 480
idStudent 481,Student 481
idStudent 482,Student 482
idStudent 483,Student 483
idStudent 484,Student 484
idStudent 485,Student 485
idStudent 486,Student 486
idStudent 487,Student 487
idStudent 488,Student 488
idStudent 489,Student 489
idStudent 490,Student 490
idStudent 491,Student 491
idStudent 492,Student 492
idStudent 493,Student 493
idStudent 494,Student 494
idStudent 495,Student 495
idStudent 496,Student 496
idStudent 497,Student 497
idStudent 498,Student 498
idStudent 499,Student 499
idStudent 500,Student 500
idStudent 501,Student 501
idStudent 502,Student 502
idStudent 503,Student 503
idStudent 504,Student 504
idStudent 505,Student 505
idStudent 506,Student 506
idStudent 507,Student 507
idStudent 508,Student 508
idStudent 509,Student 509
idStudent 510,Student 510
idStudent 511,Student 511
idStudent 512,Student 512
idStudent 513,Student 513
idStudent 514,Student 514
idStudent 515,Student 515
idStudent 516,Student 516
idStudent 517,Student 517
idStudent 518,Student 518
idStudent 519,Student 519
idStudent 520,Student 520
idStudent 521,Student 521
idStudent 522,Student 522
idStudent 523,Student 523
idStudent 524,Student 524
idStudent 525,Student 525
idStudent 526,Student 526
idStudent 527,Student 527
idStudent 528,Student 528
idStudent 529,Student 529
idStudent 530,Student 530
idStudent 531,Student 531
idStudent 532,Student 532
idStudent 533,Student 533
idStudent 534,Student 534
idStudent 535,Student 535
idStudent 536,Student 536
idStudent 537,Student 537
idStudent 538,Student 538
idStudent 539,Student 539
idStudent 540,Student 540
idStudent 541,Student 541
idStudent 542,Student 542
idStudent 543,Student 543
idStudent 544,Student 544
idStudent 545,Student 545
idStudent 546,Student 546
idStudent 547,Student 547
idStudent 548,Student 548
idStudent 549,Student 549
idStudent 550,Student 550
idStudent 551,Student 551
idStudent 552,Student 552
idStudent 553,Student 553
idStudent 554,Student 554
idStudent 555,Student 555
idStudent 556,Student 556
idStudent 557,Student 557
idStudent 558,Student 558
idStudent 559,Student 559
idStudent 560,Student 560
idStudent 561,Student 561
idStudent 562,Student 562
idStudent 563,Student 563
idStudent 564,Student 564
idStudent 565,Student 565
idStudent 566,Student 566
idStudent 567,Student 567
idStudent 568,Student 568
idStudent 569,Student 569
idStudent 570,Student 570
idStudent 571,Student 571
idStudent 572,Student 572
idStudent 573,Student 573
idStudent 574,Student 574
idStudent 575,Student 575
idStudent 576,Student 576
idStudent 577,Student 577
idStudent 578,Student 578
idStudent 579,Student 579
idStudent 580,Student 580
idStudent 581,Student 581
idStudent 582,Student 582
idStudent 583,Student 583
idStudent 584,Student 584
idStudent 585,Student 585
idStudent 586,Student 586
idStudent 587,Student 587
idStudent 588,Student 588
idStudent 589,Student 589
idStudent 590,Student 590
idStudent 591,Student 591
idStudent 592,Student 592
idStudent 593,Student 593
idStudent 594,Student 594
idStudent 595,Student 595
idStudent 596,Student 596
idStudent 597,Student 597
idStudent 598,Student 598
idStudent 599,Student 599
idStudent 600,Student 600
idStudent 601,Student 601
idStudent 602,Student 602
idStudent 603,Student 603
idStudent 604,Student 604
idStudent 605,Student 605
idStudent 606,Student 606
idStudent 607,Student 607
idStudent 608,Student 608
idStudent 609,Student 609
idStudent 610,Student 610
idStudent 611,Student 611
idStudent 612,Student 612
idStudent 613,Student 613
idStudent 614,Student 614
idStudent 615,Student 615
idStudent 616,Student 616
idStudent 617,Student 617
idStudent 618,Student 618
idStudent 619,Student 619
idStudent 620,Student 620
idStudent 621,Student 621
idStudent 622,Student 622
idStudent 623,Student 623
idStudent 624,Student 624
idStudent 625,Student 625
idStudent 626,Student 626
idStudent 627,Student 627
idStudent 628,Student 628
idStudent 629,Student 629
idStudent 630,Student 630
idStudent 631,Student 631
idStudent 632,Student 632
idStudent 633,Student 633
idStudent 634,Student 634
idStudent 635,Student 635
idStudent 636,Student 636
idStudent 637,Student 637
idStudent 638,Student 638
idStudent 639,Student 639
idStudent 640,Student 640
idStudent 641,Student 641
idStudent 642,Student 642
idStudent 643,Student 643
idStudent 644,Student 644
idStudent 645,Student 645
idStudent 646,Student 646
idStudent 647,Student 647
idStudent 648,Student 648
idStudent 649,Student 649
idStudent 650,Student 650
idStudent 651,Student 651
idStudent 652,Student 652
idStudent 653,Student 653
idStudent 654,Student 654
idStudent 655,Student 655
idStudent 656,Student 656
idStudent 657,Student 657
idStudent 658,Student 658
idStudent 659,Student 659
idStudent 660,Student 660
idStudent 661,Student 661
idStudent 662,Student 662
idStudent 663,Student 663
idStudent 664,Student 664
idStudent 665,Student 665
idStudent 666,Student 666
idStudent 667,Student 667
idStudent 668,Student 668
idStudent 669,Student 669
idStudent 670,Student 670
idStudent 671,Student 671
idStudent 672,Student 672
idStudent 673,Student 673
idStudent 674,Student 674
idStudent 675,Student 675
idStudent 676,Student 676
idStudent 677,Student 677
idStudent 678,Student 678
idStudent 679,Student 679
idStudent 680,Student 680
idStudent 681,Student 681
idStudent 682,Student 682
idStudent 683,Student 683
idStudent 684,Student 684
idStudent 685,Student 685
idStudent 686,Student 686
idStudent 687,Student 687
idStudent 688,Student 688
idStudent 689,Student 689
idStudent 690,Student 690
idStudent 691,Student 691
idStudent 692,Student 692
idStudent 693,Student 693
idStudent 694,Student 694
idStudent 695,Student 695
idStudent 696,Student 696
idStudent 697,Student 697
idStudent 698,Student 698
idStudent 699,Student 699
idStudent 700,Student 700
idStudent 701,Student 701
idStudent 702,Student 702
idStudent 703,Student 703
idStudent 704,Student 704
idStudent 705,Student 705
idStudent 706,Student 706
idStudent 707,Student 707
idStudent 708,Student 708
idStudent 709,Student 709
idStudent 710,Student 710
idStudent 711,Student 711
idStudent 712,Student 712
idStudent 713,Student 713
idStudent 714,Student 714
idStudent 715,Student 715
idStudent 716,Student 716
idStudent 717,Student 717
idStudent 718,Student 718
idStudent 719,Student 719
idStudent 720,Student 720
idStudent 721,Student 721
idStudent 722,Student 722
idStudent 723,Student 723
idStudent 724,Student 724
idStudent 725,Student 725
idStudent 726,Student 726
idStudent 727,Student 727
idStudent 728,Student 728
idStudent 729,Student 729
idStudent 730,Student 730
idStudent 731,Student 731
idStudent 732,Student 732
idStudent 733,Student 733
idStudent 734,Student 734
idStudent 735,Student 735
idStudent 736,Student 736
idStudent 737,Student 737
idStudent 738,Student 738
idStudent 739,Student 739
idStudent 740,Student 740
idStudent 741,Student 741
idStudent 742,Student 742
idStudent 743,Student 743
idStudent 744,Student 744
idStudent 745,Student 745
idStudent 746,Student 746
idStudent 747,Student 747
idStudent 748,Student 748
idStudent 749,Student 749
idStudent 750,Student 750
idStudent 751,Student 751
idStudent 752,Student 752
idStudent 753,Student 753
idStudent 754,Student 754
idStudent 755,Student 755
idStudent 756,Student 756
idStudent 757,Student 757
idStudent 758,Student 758
idStudent 759,Student 759
idStudent 760,Student 760
idStudent 761,Student 761
idStudent 762,Student 762
idStudent 763,Student 763
idStudent 764,Student 764
idStudent 765,Student 765
idStudent 766,Student 766
idStudent 767,Student 767
idStudent 768,Student 768
idStudent 769,Student 769
idStudent 770,Student 770
idStudent 771,Student 771
idStudent 772,Student 772
idStudent 773,Student 773
idStudent 774,Student 774
idStudent 775,Student 775
idStudent 776,Student 776
idStudent 777,Student 777
idStudent 778,Student 778
idStudent 779,Student 779
idStudent 780,Student 780
idStudent 781,Student 781
idStudent 782,Student 782
idStudent 783,Student 783
idStudent 784,Student 784
idStudent 785,Student 785
idStudent 786,Student 786
idStudent 787,Student 787
idStudent 788,Student 788
idStudent 789,Student 789
idStudent 790,Student 790
idStudent 791,Student 791
idStudent 792,Student 792
idStudent 793,Student 793
idStudent 794,Student 794
idStudent 795,Student 795
idStudent 796,Student 796
idStudent 797,Student 797
idStudent 798,Student 798
idStudent 799,Student 799
idStudent 800,Student 800
idStudent 801,Student 801
idStudent 802,Student 802
idStudent 803,Student 803
idStudent 804,Student 804
idStudent 805,Student 805
idStudent 806,Student 806
idStudent 807,Student 807
idStudent 808,Student 808
idStudent 809,Student 809
idStudent 810,Student 810
idStudent 811,Student 811
idStudent 812,Student 812
idStudent 813,Student 813
idStudent 814,Student 814
idStudent 815,Student 815
idStudent 816,Student 816
idStudent 817,Student 817
idStudent 818,Student 818
idStudent 819,Student 819
idStudent 820,Student 820
idStudent 821,Student 821
idStudent 822,Student 822
idStudent 823,Student 823
idStudent 824,Student 824
idStudent 825,Student 825
idStudent 826,Student 826
idStudent 827,Student 827
idStudent 828,Student 828
idStudent 829,Student 829
idStudent 830,Student 830
idStudent 831,Student 831
idStudent 832,Student 832
idStudent 833,Student 833
idStudent 834,Student 834
idStudent 835,Student 835
idStudent 836,Student 836
idStudent 837,Student 837
idStudent 838,Student 838
idStudent 839,Student 839
idStudent 840,Student 840
idStudent 841,Student 841
idStudent 842,Student 842
idStudent 843,Student 843
idStudent 844,Student 844
idStudent 845,Student 845
idStudent 846,Student 846
idStudent 847,Student 847
idStudent 848,Student 848
idStudent 849,Student 849
idStudent 850,Student 850
idStudent 851,Student 851
idStudent 852,Student 852
idStudent 853,Student 853
idStudent 854,Student 854
idStudent 855,Student 855
idStudent 856,Student 856
idStudent 857,Student 857
idStudent 858,Student 858
idStudent 859,Student 859
idStudent 860,Student 860
idStudent 861,Student 861
idStudent 862,Student 862
idStudent 863,Student 863
idStudent 864,Student 864
idStudent 865,Student 865
idStudent 866,Student 866
idStudent 867,Student 867
idStudent 868,Student 868
idStudent 869,Student 869
idStudent 870,Student 870
idStudent 871,Student 871
idStudent 872,Student 872
idStudent 873,Student 873
idStudent 874,Student 874
idStudent 875,Student 875
idStudent 876,Student 876
idStudent 877,Student 877
idStudent 878,Student 878
idStudent 879,Student 879
idStudent 880,Student 880
idStudent 881,Student 881
idStudent 882,Student 882
idStudent 883,Student 883
idStudent 884,Student 884
idStudent 885,Student 885
idStudent 886,Student 886
idStudent 887,Student 887
idStudent 888,Student 888
idStudent 889,Student 889
idStudent 890,Student 890
idStudent 891,Student 891
idStudent 892,Student 892
idStudent 893,Student 893
idStudent 894,Student 894
idStudent 895,Student 895
idStudent 896,Student 896
idStudent 897,Student 897
idStudent 898,Student 898
idStudent 899,Student 899
idStudent 900,Student 900
idStudent 901,Student 901
idStudent 902,Student 902
idStudent 903,Student 903
idStudent 904,Student 904
idStudent 905,Student 905
idStudent 906,Student 906
idStudent 907,Student 907
idStudent 908,Student 908
idStudent 909,Student 909
idStudent 910,Student 910
idStudent 911,Student 911
idStudent 912,Student 912
idStudent 913,Student 913
idStudent 914,Student 914
idStudent 915,Student 915
idStudent 916,Student 916
idStudent 917,Student 917
idStudent 918,Student 918
idStudent 919,Student 919
idStudent 920,Student 920
idStudent 921,Student 921
idStudent 922,Student 922
idStudent 923,Student 923
idStudent 924,Student 924
idStudent 925,Student 925
idStudent 926,Student 926
idStudent 927,Student 927
idStudent 928,Student 928
idStudent 929,Student 929
idStudent 930,Student 930
idStudent 931,Student 931
idStudent 932,Student 932
idStudent 933,Student 933
idStudent 934,Student 934
idStudent 935,Student 935
idStudent 936,Student 936
idStudent 937,Student 937
idStudent 938,Student 938
idStudent 939,Student 939
idStudent 940,Student 940
idStudent 941,Student 941
idStudent 942,Student 942
idStudent 943,Student 943
idStudent 944,Student 944
idStudent 945,Student 945
idStudent 946,Student 946
idStudent 947,Student 947
idStudent 948,Student 948
idStudent 949,Student 949
idStudent 950,Student 950
idStudent 951,Student 951
idStudent 952,Student 952
idStudent 953,Student 953
idStudent 954,Student 954
idStudent 955,Student 955
idStudent 956,Student 956
idStudent 957,Student 957
idStudent 958,Student 958
idStudent 959,Student 959
idStudent 960,Student 960
idStudent 961,Student 961
idStudent 962,Student 962
idStudent 963,Student 963
idStudent 964,Student 964
idStudent 965,Student 965
idStudent 966,Student 966
idStudent 967,Student 967
idStudent 968,Student 968
idStudent 969,Student 969
idStudent 970,Student 970
idStudent 971,Student 971
idStudent 972,Student 972
idStudent 973,Student 973
idStudent 974,Student 974
idStudent 975,Student 975
idStudent 976,Student 976
idStudent 977,Student 977
idStudent 978,Student 978
idStudent 979,Student 979
idStudent 980,Student 980
idStudent 981,Student 981
idStudent 982,Student 982
idStudent 983,Student 983
idStudent 984,Student 984
idStudent 985,Student 985
idStudent 986,Student 986
idStudent 987,Student 987
idStudent 988,Student 988
idStudent 989,Student 989
idStudent 990,Student 990
idStudent 991,Student 991
idStudent 992,Student 992
idStudent 993,Student 993
idStudent 994,Student 994
idStudent 995,Student 995
idStudent 996,Student 996
idStudent 997,Student 997
idStudent 998,Student 998
idStudent 999,Student 999
idStudent 1000,Student 1000
idStudent 1001,Student 1001
idStudent 1002,Student 1002
idStudent 1003,Student 1003
idStudent 1004,Student 1004
idStudent 1005,Student 1005
idStudent 1006,Student 1006
idStudent 1007,Student 1007
idStudent 1008,Student 1008
idStudent 1009,Student 1009
idStudent 1010,Student 1010
idStudent 1011,Student 1011
idStudent 1012,Student 1012
idStudent 1013,Student 1013
idStudent 1014,Student 1014
idStudent 1015,Student 1015
idStudent 1016,Student 1016
idStudent 1017,Student 1017
idStudent 1018,Student 1018
idStudent 1019,Student 1019
idStudent 1020,Student 1020
idStudent 1021,Student 1021
idStudent 1022,Student 1022
idStudent 1023,Student 1023
idStudent 1024,Student 1024
idStudent 1025,Student 1025
idStudent 1026,Student 1026
idStudent 1027,Student 1027
idStudent 1028,Student 1028
idStudent 1029,Student 1029
idStudent 1030,Student 1030
idStudent 1031,Student 1031
idStudent 1032,Student 1032
idStudent 1033,Student 1033
idStudent 1034,Student 1034
idStudent 1035,Student 1035
idStudent 1036,Student 1036
idStudent 1037,Student 1037
idStudent 1038,Student 1038
idStudent 1039,Student 1039
idStudent 1040,Student 1040
idStudent 1041,Student 1041
idStudent 1042,Student 1042
idStudent 1043,Student 1043
idStudent 1044,Student 1044
idStudent 1045,Student 1045
idStudent 1046,Student 1046
idStudent 1047,Student 1047
idStudent 1048,Student 1048
idStudent 1049,Student 1049
idStudent 1050,Student 1050
idStudent 1051,Student 1051
idStudent 1052,Student 1052
idStudent 1053,Student 1053
idStudent 1054,Student 1054
idStudent 1055,Student 1055
idStudent 1056,Student 1056
idStudent 1057,Student 1057
idStudent 1058,Student 1058
idStudent 1059,Student 1059
idStudent 1060,Student 1060
idStudent 1061,Student 1061
idStudent 1062,Student 1062
idStudent 1063,Student 1063
idStudent 1064,Student 1064
idStudent 1065,Student 1065
idStudent 1066,Student 1066
idStudent 1067,Student 1067
idStudent 1068,Student 1068
idStudent 1069,Student 1069
idStudent 1070,Student 1070
idStudent 1071,Student 1071
idStudent 1072,Student 1072
idStudent 1073,Student 1073
idStudent 1074,Student 1074
idStudent 1075,Student 1075
idStudent 1076,Student 1076
idStudent 1077,Student 1077
idStudent 1078,Student 1078
idStudent 1079,Student 1079
idStudent 1080,Student 1080
idStudent 1081,Student 1081
idStudent 1082,Student 1082
idStudent 1083,Student 1083
idStudent 1084,Student 1084
idStudent 1085,Student 1085
idStudent 1086,Student 1086
idStudent 1087,Student 1087
idStudent 1088,Student 1088
idStudent 1089,Student 1089
idStudent 1090,Student 1090
idStudent 1091,Student 1091
idStudent 1092,Student 1092
idStudent 1093,Student 1093
idStudent 1094,Student 1094
idStudent 1095,Student 1095
idStudent 1096,Student 1096
idStudent 1097,Student 1097
idStudent 1098,Student 1098
idStudent 1099,Student 1099
idStudent 1100,Student 1100
idStudent 1101,Student 1101
idStudent 1102,Student 1102
idStudent 1103,Student 1103
idStudent 1104,Student 1104
idStudent 1105,Student 1105
idStudent 1106,Student 1106
idStudent 1107,Student 1107
idStudent 1108,Student 1108
idStudent 1109,Student 1109
idStudent 1110,Student 1110
idStudent 1111,Student 1111
idStudent 1112,Student 1112
idStudent 1113,Student 1113
idStudent 1114,Student 1114
idStudent 1115,Student 1115
idStudent 1116,Student 1116
idStudent 1117,Student 1117
idStudent 1118,Student 1118
idStudent 1119,Student 1119
idStudent 1120,Student 1120
idStudent 1121,Student 1121
idStudent 1122,Student 1122
idStudent 1123,Student 1123
idStudent 1124,Student 1124
idStudent 1125,Student 1125
idStudent 1126,Student 1126
idStudent 1127,Student 1127
idStudent 1128,Student 1128
idStudent 1129,Student 1129
idStudent 1130,Student 1130
idStudent 1131,Student 1131
idStudent 1132,Student 1132
idStudent 1133,Student 1133
idStudent 1134,Student 1134
idStudent 1135,Student 1135
idStudent 1136,Student 1136
idStudent 1137,Student 1137
idStudent 1138,Student 1138
idStudent 1139,Student 1139
idStudent 1140,Student 1140
